Sexo,Lenguaje,Matemáticas,Historia,Ciencias,Etiqueta,Año
F,,,,,1,2016
M,639.0,766.0,,666.0,1,2016
F,549.0,629.0,568.0,462.0,1,2016
M,563.0,602.0,682.0,,1,2016
F,563.0,611.0,485.0,570.0,1,2016
F,760.0,647.0,589.0,619.0,1,2016
F,530.0,518.0,496.0,443.0,0,2017
F,612.0,544.0,523.0,596.0,0,2017
M,510.0,610.0,523.0,591.0,0,2017
M,517.0,448.0,475.0,529.0,0,2017
M,496.0,527.0,590.0,570.0,0,2017
F,611.0,536.0,612.0,558.0,0,2017
F,537.0,601.0,447.0,484.0,0,2017
M,573.0,660.0,503.0,596.0,0,2017
F,517.0,544.0,590.0,506.0,0,2017
F,496.0,338.0,590.0,392.0,0,2017
F,654.0,648.0,475.0,582.0,0,2017
M,573.0,558.0,670.0,529.0,0,2017
M,558.0,644.0,547.0,611.0,0,2017
M,537.0,627.0,329.0,545.0,0,2017
F,604.0,664.0,483.0,558.0,0,2017
M,442.0,448.0,542.0,457.0,0,2017
F,604.0,564.0,611.0,611.0,0,2017
F,503.0,605.0,491.0,564.0,0,2017
M,537.0,610.0,574.0,537.0,0,2017
F,537.0,536.0,510.0,506.0,0,2017
M,573.0,627.0,510.0,570.0,0,2017
F,530.0,481.0,547.0,551.0,0,2017
M,612.0,527.0,685.0,484.0,0,2017
M,604.0,730.0,553.0,655.0,1,2017
M,674.0,698.0,547.0,646.0,1,2017
F,566.0,652.0,590.0,660.0,1,2017
M,646.0,591.0,657.0,484.0,1,2017
M,729.0,745.0,677.0,758.0,1,2017
F,674.0,656.0,570.0,601.0,1,2017
M,704.0,809.0,633.0,735.0,1,2017
F,604.0,536.0,510.0,545.0,1,2017
M,580.0,660.0,606.0,611.0,1,2017
F,517.0,551.0,542.0,506.0,1,2017
M,530.0,536.0,579.0,443.0,1,2017
M,628.0,822.0,559.0,689.0,1,2017
F,692.0,672.0,579.0,651.0,1,2017
M,532.0,560.0,,608.0,0,2018
F,517.0,446.0,563.0,,0,2018
M,517.0,553.0,563.0,,0,2018
F,651.0,631.0,,603.0,0,2018
F,452.0,524.0,,384.0,0,2018
F,480.0,426.0,412.0,463.0,0,2018
F,517.0,498.0,598.0,,0,2018
M,517.0,589.0,,511.0,0,2018
F,517.0,589.0,,511.0,0,2018
F,572.0,524.0,,521.0,0,2018
M,628.0,603.0,755.0,,0,2018
F,452.0,553.0,424.0,384.0,0,2018
F,618.0,426.0,681.0,,0,2018
F,589.0,631.0,,593.0,0,2018
F,580.0,553.0,,571.0,0,2018
F,639.0,649.0,,636.0,0,2018
F,480.0,544.0,,463.0,0,2018
M,488.0,642.0,,636.0,0,2018
M,628.0,678.0,616.0,613.0,0,2018
M,563.0,579.0,563.0,618.0,0,2018
M,725.0,694.0,768.0,,0,2018
M,639.0,627.0,696.0,618.0,0,2018
F,524.0,512.0,,559.0,0,2018
F,618.0,579.0,743.0,,0,2018
M,676.0,627.0,673.0,613.0,0,2018
M,608.0,624.0,640.0,598.0,0,2018
M,628.0,603.0,646.0,,0,2018
M,580.0,589.0,,537.0,0,2018
M,618.0,813.0,610.0,727.0,0,2018
F,746.0,707.0,,741.0,0,2018
M,563.0,524.0,598.0,329.0,0,2018
F,746.0,707.0,,682.0,0,2018
F,563.0,664.0,446.0,666.0,0,2018
F,746.0,690.0,545.0,749.0,0,2018
M,663.0,612.0,653.0,618.0,0,2018
M,524.0,426.0,,475.0,0,2018
F,706.0,649.0,673.0,,0,2018
F,608.0,653.0,,613.0,1,2018
F,598.0,653.0,,636.0,1,2018
M,690.0,764.0,598.0,640.0,1,2018
M,746.0,813.0,,767.0,1,2018
F,663.0,620.0,473.0,488.0,1,2018
F,766.0,646.0,743.0,,1,2018
F,663.0,668.0,666.0,,1,2018
M,651.0,646.0,,640.0,1,2018
M,572.0,755.0,,703.0,1,2018
F,706.0,544.0,,552.0,1,2018
M,572.0,698.0,,666.0,1,2018
F,663.0,653.0,688.0,,1,2018
F,676.0,612.0,673.0,,1,2018
M,706.0,775.0,,715.0,1,2018
F,663.0,668.0,,608.0,1,2018
F,746.0,624.0,704.0,,1,2018
F,663.0,646.0,768.0,,1,2018
M,766.0,755.0,,698.0,1,2018
M,572.0,682.0,,666.0,1,2018
M,746.0,813.0,783.0,830.0,1,2018
M,539.0,678.0,446.0,593.0,1,2018
F,628.0,698.0,526.0,622.0,1,2018
F,651.0,653.0,653.0,420.0,1,2018
F,628.0,671.0,622.0,,1,2018
M,829.0,702.0,838.0,,1,2018
M,776.0,686.0,,,1,2018
M,690.0,813.0,755.0,613.0,1,2018
M,598.0,646.0,581.0,593.0,1,2018
F,663.0,653.0,743.0,,1,2018
F,639.0,612.0,,649.0,1,2018
M,618.0,607.0,768.0,,1,2018
M,628.0,698.0,569.0,588.0,1,2018
M,651.0,727.0,,703.0,1,2018
M,639.0,727.0,,659.0,1,2018
F,663.0,624.0,,608.0,1,2018
M,618.0,794.0,,757.0,1,2018
M,618.0,627.0,,583.0,1,2018
M,539.0,603.0,640.0,,1,2018
